Latitude,Longitude
15.75,113.52
15.75,114.04
15.75,114.56
15.75,115.08
15.75,115.6
15.75,116.12
15.75,116.64
15.75,117.16
15.75,117.68
15.75,118.2
15.75,118.72
15.75,119.24
15.75,119.76
15.75,120.28
15.75,120.8
15.75,121.32
15.75,121.84
16.2,100.0
16.2,100.52
16.2,101.04
16.2,101.56
16.2,102.08
16.2,102.6
16.2,103.12
16.2,103.64
16.2,104.16
16.2,104.68
16.2,105.2
16.2,105.72
16.2,106.24
16.2,106.76
16.2,107.28
16.2,107.8
16.2,108.32
16.2,108.84
16.2,109.36
16.2,109.88
16.2,110.4
16.2,110.92
16.2,111.44
16.2,111.96
16.2,112.48
16.2,113.0
16.2,113.52
16.2,114.04
16.2,114.56
16.2,115.08
16.2,115.6
16.2,116.12
16.2,116.64
16.2,117.16
16.2,117.68
16.2,118.2
16.2,118.72
16.2,119.24
16.2,119.76
16.2,120.28
16.2,120.8
16.2,121.32
16.2,121.84
16.65,100.0
16.65,100.52
16.65,101.04
16.65,101.56
16.65,102.08
16.65,102.6
16.65,103.12
16.65,103.64
16.65,104.16
16.65,104.68
16.65,105.2
16.65,105.72
16.65,106.24
16.65,106.76
16.65,107.28
16.65,107.8
16.65,108.32
16.65,108.84
16.65,109.36
16.65,109.88
16.65,110.4
16.65,110.92
16.65,111.44
16.65,111.96
16.65,112.48
16.65,113.0
16.65,113.52
16.65,114.04
16.65,114.56
16.65,115.08
16.65,115.6
16.65,116.12
16.65,116.64
16.65,117.16
16.65,117.68
16.65,118.2
16.65,118.72
16.65,119.24
16.65,119.76
16.65,120.28
16.65,120.8
16.65,121.32
16.65,121.84
17.1,100.0
17.1,100.52
17.1,101.04
17.1,101.56
17.1,102.08
17.1,102.6
17.1,103.12
17.1,103.64
17.1,104.16
17.1,104.68
17.1,105.2
17.1,105.72
17.1,106.24
17.1,106.76
17.1,107.28
17.1,107.8
17.1,108.32
17.1,108.84
17.1,109.36
17.1,109.88
17.1,110.4
17.1,110.92
17.1,111.44
17.1,111.96
17.1,112.48
17.1,113.0
17.1,113.52
17.1,114.04
17.1,114.56
17.1,115.08
17.1,115.6
17.1,116.12
17.1,116.64
17.1,117.16
17.1,117.68
17.1,118.2
17.1,118.72
17.1,119.24
17.1,119.76
17.1,120.28
17.1,120.8
17.1,121.32
17.1,121.84
17.55,100.0
17.55,100.52
17.55,101.04
17.55,101.56
17.55,102.08
17.55,102.6
17.55,103.12
17.55,103.64
17.55,104.16
17.55,104.68
17.55,105.2
17.55,105.72
17.55,106.24
17.55,106.76
17.55,107.28
17.55,107.8
17.55,108.32
17.55,108.84
17.55,109.36
17.55,109.88
17.55,110.4
17.55,110.92
17.55,111.44
17.55,111.96
17.55,112.48
17.55,113.0
17.55,113.52
17.55,114.04
17.55,114.56
17.55,115.08
17.55,115.6
17.55,116.12
17.55,116.64
17.55,117.16
17.55,117.68
17.55,118.2
17.55,118.72
17.55,119.24
17.55,119.76
17.55,120.28
17.55,120.8
17.55,121.32
17.55,121.84
18.0,100.0
18.0,100.52
18.0,101.04
18.0,101.56
18.0,102.08
18.0,102.6
18.0,103.12
18.0,103.64
18.0,104.16
18.0,104.68
18.0,105.2
18.0,105.72
18.0,106.24
18.0,106.76
18.0,107.28
18.0,107.8
18.0,108.32
18.0,108.84
18.0,109.36
18.0,109.88
18.0,110.4
18.0,110.92
18.0,111.44
